county,total,white,black,native,asian,other
19055,17523,95.868,0.006,0.086,0.205,3.835
19057,38824,87.423,5.262,0.041,1.149,6.125
19059,17692,94.365,0.119,0.045,1.029,4.443
19061,98812,90.696,3.004,0.117,1.293,4.889
19063,9349,86.458,3.637,0.246,0.246,9.413
19065,19519,93.12,0.84,0.651,0.487,4.903
19067,15601,91.872,0.942,0.09,1.558,5.538
19069,10015,90.714,0.529,0.12,0.03,8.607
19071,6639,93.749,0.723,0.136,0,5.392
19073,8801,94.16,0.5,0.239,0.739,4.363
19075,12351,96.292,0.842,0.113,0.453,2.299
19077,10619,94.557,0.471,0.179,0.283,4.511
19079,14979,90.774,1.382,0.067,1.756,6.022
19081,10790,95.533,0.825,0,0.426,3.216
19083,16861,93.073,0.546,1.619,0.896,3.867
19085,14623,96.218,0.157,0.034,0.308,3.283
19087,20436,88.946,2.564,0.294,2.246,5.95
19089,9479,95.907,0.169,0.158,0.316,3.45
19091,9606,93.941,0.375,0.167,0.697,4.82
19093,6969,95.035,0.789,0.057,0.402,3.716
19095,16575,95.149,0.652,0.054,0.187,3.958
19097,19470,96.271,0.642,0.154,0.457,2.476
19099,37808,93.816,1.825,0.201,0.59,3.568
19101,15785,85.613,4.821,0.786,5.898,2.882
19103,153360,78.935,7.404,0.187,6.156,7.318
19105,20733,92.915,2.277,0.207,0.637,3.965
19107,10026,96.569,0.598,0.08,0.12,2.633
19109,14718,94.041,0.843,0.122,0.571,4.423
19111,33442,92.56,2.859,0.182,0.428,3.971
19113,229308,85.548,5.838,0.189,2.322,6.103
19115,10823,83.286,0.693,0.425,2.033,13.564
19117,8666,96.561,0.346,0.023,0.415,2.654
19119,12023,95.259,0.2,0.166,0.333,4.042
19121,16609,95.767,1.282,0.072,0.385,2.493
19123,22059,93.644,1.709,0.109,1.015,3.522
19125,33487,94.885,0.558,0.096,1,3.461
19127,40049,78.459,2.107,0.729,4.222,14.482
19129,14605,96.796,0.26,0.123,0.705,2.116
19131,10537,96.944,0.56,0.085,0.845,1.566
19133,8671,95.295,0.3,0.692,0,3.714
19135,7574,94.626,0.145,0.106,0.779,4.344
19137,10285,92.747,0.447,1.945,0.301,4.56
19139,42968,83.548,2.707,0.23,0.656,12.858
19141,14138,91.477,1.393,0.255,0.693,6.182
19143,6149,91.901,0.943,0.325,1.382,5.448
19145,15225,93.346,1.537,0.539,0.893,3.685
19147,8938,92.437,2.047,0,0.559,4.956
19149,25621,92.28,1.78,0.445,0.519,4.976
19151,7061,93.315,0.156,0.127,0.609,5.792
19153,493378,79.8,7.295,0.214,4.93,7.76
19155,93543,89.718,1.546,0.248,0.895,7.593
19157,18608,92.321,1.182,0.22,2.225,4.052
19159,4690,95.075,0.128,0,0.085,4.712
19161,9778,95.715,0.327,0,0.757,3.201
19163,174315,81.783,7.034,0.231,2.828,8.124
19165,11737,94.402,0.92,0.119,0,4.558
